"association","emb_type","emb_model","nodes","dropout","act","lr","n_layers","avg"
"good","ft","0",600,0.5,"relu",0.001,1,0.107046124816414
"good","ft","0",600,0,"relu",0.001,2,0.10397349408914
"good","ft","0",600,0.25,"relu",0.001,3,0.10569011127592
"good","ft","2-5",25,0.5,"sigmoid",0.001,1,0.106175618157522
"good","ft","2-5",25,0,"sigmoid",1e-04,2,0.106122697887005
"good","ft","2-5",150,0.5,"relu",1e-04,3,0.105806015765399
"smart","bert","0",25,0.5,"sigmoid",1e-04,1,0.0970731752694278
"smart","bert","0",150,0.25,"sigmoid",1e-04,2,0.0967953300308109
"smart","bert","0",25,0,"sigmoid",1e-04,3,0.0966136216372445
"smart","bert","1",25,0.5,"sigmoid",1e-04,1,0.0980538436705818
"smart","bert","1",150,0.25,"sigmoid",1e-04,2,0.0959597555380399
"smart","bert","1",150,0.5,"relu",1e-04,3,0.0970209014937063
"smart","bert","10",25,0.5,"sigmoid",1e-04,1,0.0976813748804144
"smart","bert","10",50,0.25,"sigmoid",1e-04,2,0.0966713845030932
"smart","bert","10",25,0,"sigmoid",1e-04,3,0.0955947728885752
"smart","bert","11",25,0.5,"sigmoid",1e-04,1,0.0974486127370525
"smart","bert","11",50,0.25,"sigmoid",1e-04,2,0.0968370772391046
"smart","bert","11",25,0,"sigmoid",1e-04,3,0.0958468389571838
"smart","bert","2",25,0.5,"sigmoid",1e-04,1,0.0950282489300489
"smart","bert","2",50,0.25,"sigmoid",1e-04,2,0.0929349427300762
"smart","bert","2",150,0.25,"sigmoid",1e-04,3,0.093266328551081
"smart","bert","3",25,0.5,"sigmoid",1e-04,1,0.0961688878008047
"smart","bert","3",150,0.25,"sigmoid",1e-04,2,0.0942807271984865
"smart","bert","3",150,0.25,"sigmoid",1e-04,3,0.0945216833132245
"smart","bert","4",25,0.5,"sigmoid",1e-04,1,0.0994839323106952
"smart","bert","4",150,0.25,"sigmoid",1e-04,2,0.0975193060802417
"smart","bert","4",25,0,"sigmoid",1e-04,3,0.0972726519746568
"smart","bert","5",150,0.5,"sigmoid",1e-04,1,0.0976361665906385
"smart","bert","5",150,0.25,"sigmoid",1e-04,2,0.0962706841054577
"smart","bert","5",150,0.25,"sigmoid",1e-04,3,0.0946780634189351
"smart","bert","6",25,0.5,"sigmoid",1e-04,1,0.0972333101247948
"smart","bert","6",150,0.25,"sigmoid",1e-04,2,0.0953418834361465
"smart","bert","6",25,0.5,"tanh",1e-04,3,0.0950690967113624
"smart","bert","7",50,0.5,"sigmoid",1e-04,1,0.098527026884804
"smart","bert","7",150,0.25,"sigmoid",1e-04,2,0.0968589440043753
"smart","bert","7",25,0.5,"tanh",1e-04,3,0.0965789447785062
"smart","bert","8",25,0.5,"sigmoid",1e-04,1,0.0989941970682423
"smart","bert","8",150,0.25,"sigmoid",1e-04,2,0.0978157516869905
"smart","bert","8",50,0,"sigmoid",1e-04,3,0.0969990368754302
"smart","bert","9",25,0.5,"sigmoid",1e-04,1,0.0987461965496291
"smart","bert","9",50,0.25,"sigmoid",1e-04,2,0.0972158902554639
"smart","bert","9",25,0.5,"tanh",1e-04,3,0.0965306030946203
"smart","ft","0",25,0.5,"sigmoid",0.001,1,0.104832193047659
"smart","ft","0",50,0,"sigmoid",1e-04,2,0.104430939488424
"smart","ft","0",150,0.5,"relu",0.001,3,0.104371642504294
"smart","ft","2-5",50,0.5,"sigmoid",0.001,1,0.0936701006061359
"smart","ft","2-5",25,0,"sigmoid",1e-04,2,0.0924890480081623
"smart","ft","2-5",25,0.5,"tanh",1e-04,3,0.093411538245882
"trustworthy","bert","0",25,0.5,"sigmoid",1e-04,1,0.0866413751319745
"trustworthy","bert","0",25,0,"sigmoid",1e-04,2,0.0870731426240521
"trustworthy","bert","0",25,0,"sigmoid",1e-04,3,0.0879744871892341
"trustworthy","bert","1",25,0.5,"sigmoid",1e-04,1,0.0861558368388583
"trustworthy","bert","1",150,0.25,"sigmoid",1e-04,2,0.0856500736675767
"trustworthy","bert","1",150,0.5,"relu",1e-04,3,0.0867507118444286
"trustworthy","bert","10",25,0.5,"sigmoid",1e-04,1,0.0854770116207818
"trustworthy","bert","10",25,0.25,"sigmoid",0.001,2,0.0865063414232412
"trustworthy","bert","10",50,0.5,"tanh",1e-04,3,0.0862021533035445
"trustworthy","bert","11",25,0.5,"sigmoid",1e-04,1,0.0860986182985139
"trustworthy","bert","11",768,0.5,"relu",0.001,2,0.0870464753417441
"trustworthy","bert","11",25,0.5,"tanh",1e-04,3,0.0883774218303991
"trustworthy","bert","2",25,0.5,"sigmoid",1e-04,1,0.0848977879965
"trustworthy","bert","2",150,0.25,"sigmoid",1e-04,2,0.0852275421236571
"trustworthy","bert","2",25,0,"sigmoid",1e-04,3,0.0867122883618012
"trustworthy","bert","3",25,0.5,"sigmoid",1e-04,1,0.0858443158596579
"trustworthy","bert","3",25,0,"sigmoid",1e-04,2,0.0867091541935199
"trustworthy","bert","3",25,0.5,"relu",0.001,3,0.087337391608525
"trustworthy","bert","4",25,0.5,"sigmoid",1e-04,1,0.0860490114103317
"trustworthy","bert","4",25,0,"sigmoid",1e-04,2,0.0867842162216187
"trustworthy","bert","4",25,0,"sigmoid",1e-04,3,0.0885456127828031
"trustworthy","bert","5",25,0.5,"sigmoid",1e-04,1,0.0863291976084384
"trustworthy","bert","5",25,0,"sigmoid",1e-04,2,0.0872715313719566
"trustworthy","bert","5",50,0.5,"relu",1e-04,3,0.0870541325031659
"trustworthy","bert","7",25,0.5,"sigmoid",1e-04,1,0.0870519136963146
"trustworthy","bert","7",25,0,"sigmoid",1e-04,2,0.0883760369169235
"trustworthy","bert","7",150,0.5,"relu",0.001,3,0.0876722986096734
"trustworthy","bert","8",25,0.5,"sigmoid",1e-04,1,0.0871165285763448
"trustworthy","bert","8",150,0.5,"relu",1e-04,2,0.0879586959599452
"trustworthy","bert","8",25,0.5,"tanh",1e-04,3,0.0875839219784968
"trustworthy","bert","9",25,0.5,"sigmoid",1e-04,1,0.0856274290726994
"trustworthy","bert","9",25,0.25,"sigmoid",0.001,2,0.0855817805155888
"trustworthy","bert","9",25,0.25,"relu",1e-04,3,0.086128153704197
"trustworthy","ft","0",50,0,"sigmoid",1e-04,1,0.0877989226686179
"trustworthy","ft","0",50,0.25,"sigmoid",0.001,2,0.0867308908521498
"trustworthy","ft","0",150,0.5,"relu",1e-04,3,0.0857533568514219
"trustworthy","ft","2-5",25,0.5,"sigmoid",0.001,1,0.0815920056047765
"trustworthy","ft","2-5",300,0.5,"relu",1e-04,2,0.0828620822719963
"trustworthy","ft","2-5",150,0.5,"relu",1e-04,3,0.0822506477105271
