"emb_type","association","word_type","model","correlation"
"bert","smart","company","8",0.130318579501846
"bert","smart","company","9",0.182748917947056
"bert","smart","company","10",0.141447336600035
"bert","smart","company","11",0.16214266026762
"bert","smart","fnames","0",0.17293378333636
"bert","smart","fnames","1",0.200772389903326
"bert","smart","fnames","2",0.188746877760737
"bert","smart","fnames","3",0.247850109460678
"bert","smart","fnames","4",0.250490898869498
"bert","smart","fnames","5",0.248054861126597
"bert","smart","fnames","6",0.258533847510755
"bert","smart","fnames","7",0.266206968841208
"bert","smart","fnames","8",0.233451708525114
"bert","smart","fnames","9",0.21117867578953
"bert","smart","fnames","10",0.194017971491987
"bert","smart","fnames","11",0.180628149131319
"bert","smart","nonword","0",-0.0841682460490486
"bert","smart","nonword","1",-0.0412581779011582
"bert","smart","nonword","2",-0.00446692998924111
"bert","smart","nonword","3",-0.0104245372402019
"bert","smart","nonword","4",-0.0736393140202244
"bert","smart","nonword","5",-0.0762833394394737
"bert","smart","nonword","6",-0.0603157745298574
"bert","smart","nonword","7",-0.0506461298437403
"bert","smart","nonword","8",-0.0976509044180579
"bert","smart","nonword","9",-0.143749287258337
"bert","smart","nonword","10",-0.146337816993342
"bert","smart","nonword","11",-0.150273093670487
"bert","trustworthy","company","0",0.479415716258029
"bert","trustworthy","company","1",0.366031313292581
"bert","trustworthy","company","2",0.311984720712771
"bert","trustworthy","company","3",0.292063651652503
"bert","trustworthy","company","4",0.238925186315967
"bert","trustworthy","company","5",0.19445391886648
"bert","trustworthy","company","6",0.212985013270225
"bert","trustworthy","company","7",0.242390429835198
"bert","trustworthy","company","8",0.21931203892794
"bert","trustworthy","company","9",0.27023098398854
"bert","trustworthy","company","10",0.218591963478893
"bert","trustworthy","company","11",0.260100999306839
"bert","trustworthy","fnames","0",0.024293798770706
"bert","trustworthy","fnames","1",0.00644248858806637
"bert","trustworthy","fnames","2",0.0220971409684164
"bert","trustworthy","fnames","3",0.0771013722075077
"bert","trustworthy","fnames","4",0.0778262813326483
"bert","trustworthy","fnames","5",0.0871528413780506
"bert","trustworthy","fnames","6",0.0951227527515084
"bert","trustworthy","fnames","7",0.129752328178298
"bert","trustworthy","fnames","8",0.10312571237544
"bert","trustworthy","fnames","9",0.134595757028559
"bert","trustworthy","fnames","10",0.127025305649821
"bert","trustworthy","fnames","11",0.102402675859759
"bert","trustworthy","nonword","0",0.0502776249691659
"bert","trustworthy","nonword","1",0.126280407845624
"bert","trustworthy","nonword","2",0.154692001498284
"bert","trustworthy","nonword","3",0.138664723947854
"bert","trustworthy","nonword","4",0.0611636295266812
"bert","trustworthy","nonword","5",0.0921592228073752
"bert","trustworthy","nonword","6",0.11891933180596
"bert","trustworthy","nonword","7",0.112648440508785
"bert","trustworthy","nonword","8",0.101589825302955
"bert","trustworthy","nonword","9",0.0712129718229422
"bert","trustworthy","nonword","10",0.0705234514468136
"bert","trustworthy","nonword","11",0.0576877836793002
